symbol,qty,avg_entry,current,unrealized_pct,unrealized_pnl
AMAT261002P00435000,1.0,1.39,1.0,-28.06,-39.0
BAC261002C00057000,1.0,0.46,0.6,30.44,14.0
LRCX261002P00285000,1.0,1.55,1.13,-27.1,-42.0
MCD261002C00240000,1.0,2.0,1.3,-35.0,-70.0
PEP261002C00132000,1.0,0.32,0.3,-6.25,-2.0
RTX261002C00190000,1.0,2.01,2.0,-0.5,-1.0
SBUX261002C00097000,1.0,0.45,0.51,13.33,6.0
SMCI261002C00041000,1.0,1.36,2.96,117.65,160.0
TMO260925P00617500,1.0,0.65,0.0,-100.0,-65.0
XLU261002C00040500,3.0,0.07,0.14,100.0,21.0
